SubscriberKey,SentCount_7Days,SentCount_31Days,SentCount_6Mos,SentCount_12Mos,SentCount_Life,LastSentDateTimeUTC,OpenCount_7Days,OpenCount_31Days,OpenCount_6Mos,OpenCount_12Mos,OpenCount_Life,LastOpenDateTimeUTC,ClickCount_7Days,ClickCount_31Days,ClickCount_6Mos,ClickCount_12Mos,ClickCount_Life,LastClickDateTimeUTC,BounceCount_7Days,BounceCount_31Days,BounceCount_6Mos,BounceCount_12Mos,BounceCount_Life,LastBounceDateTimeUTC,LastUnsubDateTimeUTC,LastModifiedDateTimeUTC
0013t00001jHuunAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuNAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUoAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUQAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuqAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuURAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuusAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUTAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUUAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUVAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUxAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuXAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuyAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuzAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuv4AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuv6AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuv7AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuV8AAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
